date,symbol,factor_id,factor_value,fwd_return_3m,rank,long_returns,short_returns,portfolio_return
2024-10-18,ERO,price_to_52w_close_high,-0.0038032157150865633,-1.087232133609347,0.3220693044974195,,,
2024-10-18,ISPOW,price_to_52w_close_high,-2.378028975330563,3.5290740689917115,0.048353403784713686,,3.5290740689917115,
2024-10-18,YMAB,price_to_52w_close_high,-0.20625005329781107,-2.1872083758333773,0.2806586384861145,,,
2024-10-18,URAN,price_to_52w_close_high,0.7355390164458735,-0.40273311132835854,0.9412017694765299,,,
2024-10-18,PUK,price_to_52w_close_high,-0.32204808342242214,-0.5717123557697286,0.2569427377734087,,,
2024-10-18,NAN,price_to_52w_close_high,0.6761830805219046,-0.1566413841111707,0.694888178913738,,,
2024-10-18,WTFC,price_to_52w_close_high,0.6773530892429179,0.6292769822437994,0.6978373064635045,,,
2024-10-18,WTS,price_to_52w_close_high,0.5051159418251098,-0.013742474457706058,0.48365691816171047,,,
2024-10-18,EQIN,price_to_52w_close_high,0.7080005488569168,-0.22209010895436654,0.7791226345539445,,,
2024-10-18,MS$E,price_to_52w_close_high,0.6502578259734437,0.038047147212796846,0.642295404276235,,,
2024-10-18,HPK,price_to_52w_close_high,-0.14513611708554625,0.20374866982620563,0.2919636274268862,,,
2024-10-18,TMSL,price_to_52w_close_high,0.729264191794974,0.02465634472841074,0.8542639469157041,,,
2024-10-18,SMB,price_to_52w_close_high,0.7211326868135943,-0.01592517615513761,0.8230523470140083,,,
2024-10-18,ITW,price_to_52w_close_high,0.592720079968132,-0.09765413460344993,0.5498894077168838,,,
2024-10-18,STEM,price_to_52w_close_high,-2.841537478960712,1.3946529401739485,0.024453182600147456,,1.3946529401739485,
2024-10-18,MYLD,price_to_52w_close_high,0.5717252721220512,-0.07892220579840503,0.5305971983288277,,,
2024-10-18,BUI,price_to_52w_close_high,0.5716890160731578,-0.10416670883581547,0.5304743180142542,,,
2024-10-18,RMAX,price_to_52w_close_high,0.4338999700515526,-0.7653895505876512,0.44740722536249694,,,
2024-10-18,BOND,price_to_52w_close_high,0.6362393238839733,-0.10879608435893774,0.6147702138117473,,,
2024-10-18,BLMN,price_to_52w_close_high,-1.0356607204641857,-1.216846533397193,0.15556647825018433,,-1.216846533397193,
2024-10-18,NEWT,price_to_52w_close_high,0.22855565205601888,-0.31289616146911453,0.3769968051118211,,,
2024-10-18,SPNS,price_to_52w_close_high,0.2649363458214483,-1.1232456341178423,0.38744163185057756,,,
2024-10-18,MRX,price_to_52w_close_high,0.7355390164458735,1.1322812302510836,0.9412017694765299,,,
2024-10-18,VSTS,price_to_52w_close_high,-0.5806299343379475,0.28329482199212136,0.2174981567952814,,,
2024-10-18,JLL,price_to_52w_close_high,0.6479317602066738,-0.13740687137602023,0.638240353895306,,,
2024-10-18,XOP,price_to_52w_close_high,0.0706493907033827,0.32543126699851554,0.337183583189973,,,
2024-10-18,MGLD,price_to_52w_close_high,-0.3082475865115606,1.395708760282637,0.2598918653231752,,,
2024-10-18,OPTT,price_to_52w_close_high,-2.113477446617533,3.5290740689917115,0.06365200294912755,,3.5290740689917115,
2024-10-18,CALM,price_to_52w_close_high,0.6634168200261934,0.8508193634430747,0.6682231506512657,,,
2024-10-18,ATLCZ,price_to_52w_close_high,0.6411144708129151,0.01627406854854423,0.6250921602359302,,,
2024-10-18,BAC$M,price_to_52w_close_high,0.7271793225493067,-0.2525376356153218,0.8445564020643893,,,
2024-10-18,VICR,price_to_52w_close_high,-0.2139597609748931,0.7030907689825602,0.27869255345293686,,,
2024-10-18,FOUR,price_to_52w_close_high,0.705824467146762,0.26399828563568484,0.7725485377242566,,,
2024-10-18,LQDT,price_to_52w_close_high,0.5220981943875062,2.432933273073756,0.4929958220693045,,,
2024-10-18,ITWO,price_to_52w_close_high,0.7192023942667995,-0.22482076984862695,0.8148193659375768,,,
2024-10-18,GSBC,price_to_52w_close_high,0.3191814418253305,0.16947476627320526,0.40636520029491274,,,
2024-10-18,EPOL,price_to_52w_close_high,0.2921675723614328,-0.2071835159623882,0.3977635782747604,,,
2024-10-18,CMS$B,price_to_52w_close_high,0.7355390164458735,-0.5315292899574531,0.9412017694765299,,,
2024-10-18,DHR,price_to_52w_close_high,0.6412019134039698,-0.5115588660274267,0.6253379208650774,,,
2024-10-18,VEGI,price_to_52w_close_high,0.5994794431278148,-0.08943800308287427,0.5570164659621528,,,
2024-10-18,LIF,price_to_52w_close_high,0.5753467238670119,-0.29863938824044844,0.5331776849348734,,,
2024-10-18,GAL,price_to_52w_close_high,0.7146547750312169,-0.08292459564941078,0.7994593266158762,,,
2024-10-18,YPF,price_to_52w_close_high,0.6161896088356916,3.1650520984239017,0.5802408454165643,,,
